power (W),speed (mm/s),meltpool width (um),meltpool depth (um),width error (um),depth error (um),text,color,energy density (J/mm),calc width (um),calc depth (um),calc length (um),hatch distance depth (um)
60,2400,36.84211,9.444444,5.263155,0.9722245,C,r,0.025,38.847411859754,11.727862454961,158.34560006395,11.18811795558371
60,2000,39.00929,10.55556,4.64396,1.5277795,C,r,0.03,42.541916296926004,14.113769465119,168.460284767402,13.533490187258286
50,1200,51.07595,9.303797,2.088605,1.329113,C,g,0.041666666666666664,47.458232214848,17.969126601261,162.711498143415,17.465032675030265
60,1600,46.43963,11.66667,7.27554,1.38889,C,g,0.0375,47.384399783298,17.537531973567,180.155929240925,16.870218834188027
80,2800,42.62156,9.279661,10.274845,1.2711875,C,r,0.02857142857142857,45.100661641834,14.834971977873,206.025573630128,14.450673650833066
90,2800,46.04651,11.94915,1.90275,1.461865,C,r,0.03214285714285714,48.657932872150006,16.905790814641,234.67412338000602,16.54370296688157
60,1200,52.21519,12.1097,2.65823,2.36287,C,g,0.05,54.29525748943,22.830084517855003,194.80794885221601,22.019659937842924
50,800,57.27273,27.93103,3.526645,8.04075,K,g,0.0625,57.98500792763,27.040913030016,181.077801554281,26.39338779463493
100,2800,47.82241,14.36441,3.995775,2.447035,C,r,0.03571428571428571,51.739263778724,18.813045295604,262.413007183944,18.406388027178085
40,400,58.46154,14.54545,7.307695,2.226345,C,g,0.1,65.683068649674,41.963103777345,169.734530125009,39.83579137311986
70,1200,58.48101,23.77637,6.93038,5.0211,K,g,0.058333333333333334,60.132503025220004,27.257224497143998,227.617404051074,26.56021430524864
60,800,68.42105,31.11111,6.50155,6.25,K,g,0.075,66.39942209802601,33.979518465,217.164291821122,33.340910890756334
80,1200,64.36709,29.68354,6.550635,14.841775,K,r,0.06666666666666667,65.051252281896,31.594085800696,260.939039002232,30.83972871697169
50,400,76.53846,56.1039,3.076925,7.1243,K,r,0.125,78.062363093916,56.84129377938,208.825445959006,55.91466395543213
90,1200,71.96203,43.5654,7.025315,3.98734,K,r,0.075,69.517284959576,35.917395460174,295.57569954681,35.21784029243663
100,1200,76.13924,52.8692,3.607595,2.28903,K,r,0.08333333333333333,73.680618234226,40.700778853756,330.660873876912,39.512355919564364
60,400,86.92308,82.82004,3.076925,5.7885,K,r,0.15,87.536189448944,74.27736010865401,250.696728884774,73.05603629298258
70,400,99.61538,98.25603,4.61541,11.577005,K,r,0.175,95.719228166048,92.328088975,293.351179524936,90.74733319596075
80,400,105.0,106.5677,7.115395,10.68647,K,r,0.2,103.640778848432,112.26436935630001,334.916016988783,110.79229436805116
90,400,105.7692,138.6271,3.65385,4.7495,K,r,0.225,109.25608426475,133.36506021387,377.238982747201,131.61056821641475
100,400,110.0,137.4397,3.65385,19.29495,K,r,0.25,113.196567049956,154.29574042109002,409.93180973623197,151.9842717103315
60,2800,,,,,,,0.02142857142857143,35.999741933268005,10.487756934506,150.871269227565,10.017290725444846
50,2400,,,,,,,0.020833333333333332,32.61725606326,9.206819048618101,129.409759238966,8.60686037878911
50,2000,,,,,,,0.025,36.577115569636,10.777181141287,138.019694305993,10.340605684603757
50,1600,,,,,,,0.03125,40.77889610178,13.561377162531,149.41688911889102,12.996074464714932
50,2800,,,,,,,0.017857142857142856,29.007391321428,7.885194188528,121.09429212560201,7.365267977375161
80,2400,,,,,,,0.03333333333333333,48.305679936934,16.9924348755,216.40850333344,16.62133779710076
80,2000,,,,,,,0.04,52.249218069541996,20.196612965998,228.16404634258703,19.786221552479432
80,1600,,,,,,,0.05,57.30638887186,24.549372529385998,242.584973034001,23.6245984165129
80,800,,,,,,,0.1,78.45831903056201,48.019681813713994,290.934413743876,47.232604253298796
90,2400,,,,,,,0.0375,52.528211731016,19.334513870311,245.09439718191697,18.982503104129083
90,2000,,,,,,,0.045,56.227670707258,22.974700347988,258.08615013232196,21.9824188310649
90,1600,,,,,,,0.05625,61.326328622827994,27.414362817417,273.717749747924,26.783932517053564
90,800,,,,,,,0.1125,83.879760446408,55.81225654188199,328.217040321883,55.26684851366974
100,2400,,,,,,,0.041666666666666664,54.691756312955995,21.676344621311,273.91670503002,21.339072532755928
100,2000,,,,,,,0.05,59.574436452322,25.548622354638997,287.22730602639,24.49086877609806
100,1600,,,,,,,0.0625,64.890220537196,30.50659382773,304.72570816195196,29.93865578604021
100,800,,,,,,,0.125,88.392643626822,64.632825575731,367.006483660796,62.994114458061766
40,2400,,,,,,,0.016666666666666666,24.199480023992002,6.1165337208216,92.5697387584609,5.145627418481786
40,2000,,,,,,,0.02,27.360868767464,7.518700098421401,104.0720812056575,7.013315410615967
40,1200,,,,,,,0.03333333333333333,39.127125656762,12.910113634093001,129.06481333973102,12.457954381138723
40,1600,,,,,,,0.025,32.383213759115996,9.407019167514902,115.450001702455,8.751709868030835
40,2800,,,,,,,0.014285714285714285,19.404355894124,4.618977192442901,80.7191264782023,3.887150829316517
40,800,,,,,,,0.05,47.764233293699995,19.837624343544,145.51331859041602,19.327894388089042
70,2400,,,,,,,0.029166666666666667,44.024775109935995,14.60637622091,187.26361604175298,14.182494171091427
70,2000,,,,,,,0.035,47.820517800536,17.333351776441997,198.268224329464,16.863147534491784
70,1600,,,,,,,0.04375,53.18400524239,21.357010078073,211.02059958391698,20.641956340987107
70,2800,,,,,,,0.025,40.574895071342,12.486957144221,177.761379853165,11.921968950823763
70,800,,,,,,,0.0875,72.90858952245,41.232983013014,252.762447713629,39.77411277030684
