#Temperature [K]	Heat per mole [J]
298.15	6069.178
322.9909	6690.4128
347.8318	7323.8681
372.6727	7968.7163
397.5136	8624.4471
422.3545	9290.7811
447.1954	9967.6123
472.0364	10654.9706
496.8773	11352.9968
521.7182	12061.9248
546.5591	12782.0709
571.4	13513.8288
596.2409	14257.6667
621.0818	15014.1304
645.9227	15783.8485
670.7636	16567.5438
695.6045	17366.0484
720.4454	18180.3269
745.2863	19011.507
770.1272	19860.9221
794.9682	20730.1679
819.8091	21621.1788
844.65	22536.3297
869.4909	23478.5717
894.3318	24451.6127
919.1727	25460.1459
944.0136	26507.8048
961.581	27243.0041
966.581	27449.6405
971.581	27651.33
976.1568	27831.598
993.6954	28514.1877
1018.5363	29455.2132
1043.3772	30379.2761
1068.2181	31292.0805
1093.059	32197.5016
1117.9	33098.2885
1142.7409	33996.4692
1167.5818	34893.5907
1192.4227	35790.8683
1217.2636	36689.2799
1242.1045	37589.6291
1266.9454	38492.5875
1291.7863	39398.7247
1316.6272	40308.53
1341.4681	41222.428
1366.309	42140.7912
1391.1499	43063.9487
1415.9908	43992.1936
1440.8318	44925.789
1465.6727	45864.9724
1490.5136	46809.9596
1515.3545	47760.9479
1540.1954	48718.1183
1657.4548	53427.621
1662.4548	53631.9742
1667.4548	53857.7442
1669.6796	53970.6928
1670.6452	54022.1111
1671.6452	54076.4571
1672.6452	54131.977
1673.6452	54188.7606
1674.6452	54246.9044
1675.6452	54306.5127
1676.6452	54367.6979
1677.6452	54430.5818
1678.6452	54495.2959
1679.6452	54561.9831
1680.6452	54630.7982
1681.6452	54701.91
1682.6452	54775.502
1683.6452	54851.7748
1684.6452	54930.9477
1685.6452	55013.2608
1686.6452	55098.9781
1687.6452	55188.3896
1688.6452	55281.8153
1689.6452	55379.6088
1690.6452	55482.1616
1691.6452	55589.9079
1692.6452	55703.3309
1693.6452	55822.9693
1694.6452	55949.4248
1695.6452	56083.3716
1696.6452	56225.5664
1697.6452	56376.8609
1698.6452	56538.216
1699.6452	56710.7187
1700.6452	56895.6011
1705.6452	57941.8637
1710.6452	59171.6036
1715.6452	60513.085
1720.6452	61894.5534
1725.6452	63244.2544
1730.6452	64490.4336
1735.6452	65561.3365
1740.6452	66385.1344
1745.6452	66889.9389
1746.79	66953.3275
1750.0	67093.9703
1800.0	69322.9464
1850.0	71592.3384
1900.0	73870.5624
1950.0	76156.0234
2000.0	78448.1893
2050.0	80746.4263
2100.0	83049.9904
2150.0	85358.0188
2200.0	87669.3347
2250.0	89981.4819
2300.0	92293.9746
2350.0	94606.813
2400.0	96919.996
2450.0	99233.5209
2500.0	101547.383
2550.0	103861.576
2600.0	106176.09
2650.0	108490.916
2700.0	110806.038
2750.0	113121.44
2800.0	115437.104
2850.0	117753.006
2900.0	120069.117
2950.0	122385.316
3000.0	124701.519
3050.0	127017.726
3100.0	129333.938
3150.0	131650.154
3200.0	133966.374
3250.0	136282.599
3300.0	138598.827
3350.0	140915.06
3400.0	143231.297
3450.0	145547.538
3500.0	147863.784
3550.0	150180.033
3600.0	152496.286
3650.0	154812.543
3700.0	157128.805
3750.0	159445.07
3800.0	161761.339
3850.0	164077.611
3900.0	166393.888
3950.0	168710.169
4000.0	171026.453
4050.0	173342.741
4100.0	175659.033
4150.0	177975.329
4200.0	180291.629
4250.0	182607.932
4300.0	184924.239
4350.0	187240.549
4400.0	189556.864
4450.0	191873.182
4500.0	194189.503
4550.0	196505.829
4600.0	198822.158
4650.0	201138.49
4700.0	203454.827
4750.0	205771.166
4800.0	208087.51
4850.0	210403.857
4900.0	212720.208
4950.0	215036.562
5000.0	217352.92
