#Temperature [K]	Mole mass gas [g/mol]
1540.1954	0.0532136
1653.677	0.0533896
1658.677	0.0533997
1663.677	0.0534152
1668.677	0.0534378
1672.7059	0.0534623
1673.6452	0.0534688
1674.6452	0.0534757
1675.6452	0.0534826
1676.6452	0.0534895
1677.6452	0.0534964
1678.6452	0.0535033
1679.6452	0.0535102
1680.6452	0.0535171
1681.6452	0.053524
1682.6452	0.0535309
1683.6452	0.0535378
1684.6452	0.0535447
1685.6452	0.0535516
1686.6452	0.0535585
1687.6452	0.0535654
1688.6452	0.0535724
1689.6452	0.0535793
1690.6452	0.0535863
1691.6452	0.0535933
1692.6452	0.0536003
1693.6452	0.0536074
1694.6452	0.0536145
1695.6452	0.0536216
1696.6452	0.0536288
1697.6165	0.0536358
1702.6165	0.0536681
1707.6165	0.0536936
1712.6165	0.0537131
1717.6165	0.0537273
1722.6165	0.0537371
1727.6165	0.053743
1732.6165	0.053746
1737.6165	0.0537468
1742.6165	0.0537461
1746.3997	0.0537451
1750.0	0.053744
1800.0	0.0537299
1850.0	0.0537167
1900.0	0.0537044
1950.0	0.0536929
2000.0	0.0536821
2050.0	0.0536722
2100.0	0.0536629
2150.0	0.0536544
2200.0	0.0536464
2250.0	0.0536391
2300.0	0.0536323
2350.0	0.053626
2400.0	0.0536201
2450.0	0.0536145
2500.0	0.0536094
2550.0	0.0536045
2600.0	0.0536
2650.0	0.0535957
2700.0	0.0535916
2750.0	0.0535877
2800.0	0.053584
2850.0	0.0535805
2900.0	0.0535772
2950.0	0.0535739
3000.0	0.0535708
3050.0	0.0535678
3100.0	0.0535649
3150.0	0.0535621
3200.0	0.0535594
3250.0	0.0535568
3300.0	0.0535542
3350.0	0.0535517
3400.0	0.0535492
3450.0	0.0535468
3500.0	0.0535444
3550.0	0.0535421
3600.0	0.0535398
3650.0	0.0535376
3700.0	0.0535353
3750.0	0.0535331
3800.0	0.0535309
3850.0	0.0535288
3900.0	0.0535266
3950.0	0.0535245
4000.0	0.0535224
4050.0	0.0535203
4100.0	0.0535182
4150.0	0.0535161
4200.0	0.053514
4250.0	0.0535119
4300.0	0.0535098
4350.0	0.0535077
4400.0	0.0535056
4450.0	0.0535035
4500.0	0.0535014
4550.0	0.0534993
4600.0	0.0534972
4650.0	0.0534951
4700.0	0.0534929
4750.0	0.0534908
4800.0	0.0534886
4850.0	0.0534864
4900.0	0.0534842
4950.0	0.053482
5000.0	0.0534798
