#Temperature [K]	dgv
1540.1954	-180235.45
1653.677	-165447.652
1658.677	-164807.094
1663.677	-164193.475
1668.677	-163615.293
1672.7059	-163180.983
1673.6452	-163083.604
1674.6452	-162979.959
1675.6452	-162876.342
1676.6452	-162772.753
1677.6452	-162669.189
1678.6452	-162565.652
1679.6452	-162462.143
1680.6452	-162358.662
1681.6452	-162255.215
1682.6452	-162151.804
1683.6452	-162048.435
1684.6452	-161945.115
1685.6452	-161841.85
1686.6452	-161738.65
1687.6452	-161635.524
1688.6452	-161532.483
1689.6452	-161429.54
1690.6452	-161326.707
1691.6452	-161223.999
1692.6452	-161121.433
1693.6452	-161019.025
1694.6452	-160916.793
1695.6452	-160814.758
1696.6452	-160712.941
1697.6165	-160614.276
1702.6165	-160089.05
1707.6165	-159533.246
1712.6165	-158950.869
1717.6165	-158345.941
1722.6165	-157722.471
1727.6165	-157084.496
1732.6165	-156436.006
1737.6165	-155781.045
1742.6165	-155123.61
1746.3997	-154626.987
1750.0	-154155.421
1800.0	-147627.702
1850.0	-141129.397
1900.0	-134660.37
1950.0	-128220.215
2000.0	-121808.506
2050.0	-115424.78
2100.0	-109068.537
2150.0	-102739.235
2200.0	-96436.2814
2250.0	-90158.9682
2300.0	-83906.4943
2350.0	-77678.0826
2400.0	-71472.9851
2450.0	-65290.484
2500.0	-59129.8947
2550.0	-52990.5619
2600.0	-46871.8565
2650.0	-40773.1751
2700.0	-34693.939
2750.0	-28633.5929
2800.0	-22591.6042
2850.0	-16567.4618
2900.0	-10560.6755
2950.0	-4570.7748
3000.0	1402.6918
3050.0	7360.1574
3100.0	13302.0381
3150.0	19228.7331
3200.0	25140.6259
3250.0	31038.0845
3300.0	36921.4626
3350.0	42791.1003
3400.0	48647.3268
3450.0	54490.462
3500.0	60320.8172
3550.0	66138.6961
3600.0	71944.3948
3650.0	77738.2029
3700.0	83520.4034
3750.0	89291.274
3800.0	95051.0865
3850.0	100800.108
3900.0	106538.601
3950.0	112266.824
4000.0	117985.03
4050.0	123693.471
4100.0	129392.394
4150.0	135082.042
4200.0	140762.657
4250.0	146434.478
4300.0	152097.741
4350.0	157752.679
4400.0	163399.524
4450.0	169038.506
4500.0	174669.854
4550.0	180293.793
4600.0	185910.549
4650.0	191520.345
4700.0	197123.404
4750.0	202719.947
4800.0	208310.193
4850.0	213894.363
4900.0	219472.674
4950.0	225045.343
5000.0	230612.588
