#Temperature [K]	Apparent heat capacity [J/K]
298.15	446.39247477900733
322.9909	455.17241250742745
347.8318	463.35747396912205
372.6727	471.17575077619614
397.5136	478.7925521798028
422.3545	486.33153712719
447.1954	493.89729786874375
472.0364	501.5615165725478
496.8773	509.3930374939938
521.7182	517.4516344838136
546.5591	525.7926930905221
571.4	534.4701456987998
596.2409	543.5393394112456
621.0818	553.0600529286454
645.9227	563.0994066444546
670.7636	573.7361601008251
695.6045	585.0649365654946
720.4454	597.2010630850856
745.2863	610.3022759051897
770.1272	624.5445913646417
794.9682	640.1782528713065
819.8091	657.5155669549615
844.65	676.9720342288366
869.4909	699.0908799118977
894.3318	724.579965577655
919.1727	752.6862027463624
944.0136	746.9151173303028
961.581	745.6230786988366
966.581	727.953321119191
971.581	710.3525713822705
976.1568	694.6228019566094
993.6954	676.1248127274616
1018.5363	663.9472749647482
1043.3772	655.860635522302
1068.2181	650.5605141862741
1093.059	647.2348641664781
1117.9	645.3650722921582
1142.7409	644.6068794255063
1167.5818	644.721425470646
1192.4227	645.5383957565506
1217.2636	646.9323648923429
1242.1045	648.8086936675228
1266.9454	651.0941528599168
1291.7863	653.7308245644809
1316.6272	656.6721272672572
1341.4681	659.8818869089106
1366.309	663.3274053050258
1391.1499	666.9834573558186
1415.9908	670.8282391378846
1440.8318	674.8447579859965
1465.6727	679.0155160261309
1490.5136	683.3278513486864
1515.3545	687.770370240413
1540.1954	716.8749317480797
1657.4548	716.9531225224993
1662.4548	759.3887864348987
1667.4548	880.5905976415439
1669.6796	957.6512366171994
1670.6452	977.5244564564716
1671.6452	998.895140605505
1672.6452	1021.8774831272349
1673.6452	1046.5943066085347
1674.6452	1073.1797980245724
1675.6452	1101.7809434308506
1676.6452	1132.5591666405699
1677.6452	1165.692200739681
1678.6452	1201.3762261467803
1679.6452	1239.8283145549563
1680.6452	1281.289224947776
1681.6452	1326.0266059207943
1682.6452	1374.3386685222856
1683.6452	1426.5584052923564
1684.6452	1483.0584456878482
1685.6452	1544.2566542819575
1686.6452	1610.6225994393146
1687.6452	1682.6850430464617
1688.6452	1761.0406333149554
1689.6452	1846.3640155012727
1690.6452	1939.4196204233863
1691.6452	2041.075440214945
1692.6452	2152.319164550275
1693.6452	2274.277124717061
1694.6452	2408.2365851913887
1695.6452	2555.6720332200503
1696.6452	2718.2762501413945
1697.6452	2897.9971138608767
1698.6452	3097.0812778066775
1699.6452	3318.1261138767095
1700.6452	3372.2161859849894
1705.6452	4142.450779547456
1710.6452	4656.953009938335
1715.6452	4915.723061550524
1720.6452	4918.760934383002
1725.6452	4666.066628438394
1730.6452	4157.640143722473
1735.6452	3393.4814802254846
1740.6452	2373.530987024631
1745.6452	1097.734290714958
1746.79	782.5120669694843
1750.0	796.188596760205
1800.0	810.625130850169
1850.0	813.7799261444599
1900.0	816.3649527019257
1950.0	818.7599666321181
2000.0	820.9285527986535
2050.0	822.8313779103411
2100.0	824.4260433933342
2150.0	825.6003040853238
2200.0	825.8972691401656
2250.0	826.0206491413095
2300.0	826.1441595098877
2350.0	826.267264687913
2400.0	826.3893720504328
2450.0	826.5098295082498
2500.0	826.6279230557504
2550.0	826.7428742443167
2600.0	826.8538376260547
2650.0	826.9598981247445
2700.0	827.060068306542
2750.0	827.1532857334569
2800.0	827.2384101880955
2850.0	827.3134047884898
2900.0	827.3443427408625
2950.0	827.3459459223833
3000.0	827.3475294241064
3050.0	827.3490944373065
3100.0	827.350642073514
3150.0	827.352173359706
3200.0	827.3536892497121
3250.0	827.355190625583
3300.0	827.356678309244
3350.0	827.35815306749
3400.0	827.3596156171658
3450.0	827.3610666130749
3500.0	827.3625066792008
3550.0	827.3639363928919
3600.0	827.3653562997644
3650.0	827.3667668955859
3700.0	827.3681686618918
3750.0	827.3695620420095
3800.0	827.3709474479444
3850.0	827.3723252779723
3900.0	827.3736958944853
3950.0	827.3750596457088
4000.0	827.3764168525441
4050.0	827.377767826652
4100.0	827.379112851131
4150.0	827.3804522009223
4200.0	827.381786131365
4250.0	827.383114893568
4300.0	827.3844386896023
4350.0	827.3857577620977
4400.0	827.3870723010415
4450.0	827.388382526523
4500.0	827.3896885898633
4550.0	827.3909906943427
4600.0	827.3922889576444
4650.0	827.3935835770874
4700.0	827.394874709364
4750.0	827.396162449738
4800.0	827.3974469685064
4850.0	827.3987284009405
4900.0	827.400006824853
4950.0	827.4012823953514
5000.0	827.4012823923839
