#Temperature [K]	dhv
1540.1954	393080.105
1664.6452	364228.352
1665.6452	363803.009
1666.6452	363370.208
1667.6452	362929.61
1668.6452	362480.853
1669.6452	362023.547
1670.6452	361557.269
1671.6452	361081.567
1672.6452	360595.957
1673.6452	360099.919
1674.6452	359592.9
1675.6452	359074.306
1676.6452	358543.508
1677.6452	357999.833
1678.6452	357442.569
1679.6452	356870.957
1680.6452	356284.193
1681.6452	355681.425
1682.6452	355061.752
1683.6452	354424.217
1684.6452	353767.814
1685.6452	353091.477
1686.6452	352394.082
1687.6452	351674.444
1688.6452	350931.316
1689.6452	350163.384
1690.6452	349369.271
1691.6452	348547.529
1692.6452	347696.643
1693.6452	346815.026
1694.6452	345901.025
1695.6452	344952.919
1696.6452	343968.92
1697.6452	342947.183
1698.6452	341885.804
1703.6452	338877.856
1708.6452	339714.121
1713.6452	343547.524
1718.6452	349531.835
1723.6452	356818.516
1728.6452	364559.804
1733.6452	371908.474
1738.6452	378015.908
1743.6452	382035.42
1747.7837	383179.76
1750.0	383135.098
1800.0	382095.26
1850.0	381019.931
1900.0	379928.972
1950.0	378824.731
2000.0	377709.263
2050.0	376584.996
2100.0	375454.52
2150.0	374320.777
2200.0	373187.766
2250.0	372063.724
2300.0	370950.512
2350.0	369848.358
2400.0	368757.44
2450.0	367677.71
2500.0	366609.019
2550.0	365551.386
2600.0	364504.803
2650.0	363469.233
2700.0	362444.621
2750.0	361430.893
2800.0	360427.963
2850.0	359435.729
2900.0	358454.076
2950.0	357482.877
3000.0	356521.996
3050.0	355571.288
3100.0	354630.597
3150.0	353699.762
3200.0	352778.614
3250.0	351866.978
3300.0	350964.673
3350.0	350071.587
3400.0	349187.753
3450.0	348313.232
3500.0	347448.098
3550.0	346592.438
3600.0	345746.352
3650.0	344909.954
3700.0	344083.368
3750.0	343266.728
3800.0	342460.179
3850.0	341663.877
3900.0	340877.984
3950.0	340102.673
4000.0	339338.124
4050.0	338584.524
4100.0	337842.068
4150.0	337110.958
4200.0	336391.402
4250.0	335683.613
4300.0	334987.813
4350.0	334304.227
4400.0	333633.086
4450.0	332974.627
4500.0	332329.09
4550.0	331696.722
4600.0	331077.773
4650.0	330472.499
4700.0	329881.156
4750.0	329304.01
4800.0	328741.327
4850.0	328193.376
4900.0	327660.433
4950.0	327142.775
5000.0	326640.683
