#Temperature [K]	Heat per kg [J]
298.15	108354.544
322.9909	119443.338
347.8318	130750.238
372.6727	142260.469
397.5136	153964.921
422.3545	165858.6
447.1954	177939.611
472.0364	190208.487
496.8773	202667.73
521.7182	215321.515
546.5591	228175.483
571.4	241236.651
596.2409	254513.375
621.0818	268015.385
645.9227	281753.899
670.7636	295741.805
695.6045	309993.949
720.4454	324527.535
745.2863	339362.68
770.1272	354523.169
794.9682	370037.465
819.8091	385940.074
844.65	402273.358
869.4909	419089.957
894.3318	436456.009
919.1727	454455.233
944.0136	473152.642
961.581	486274.026
966.581	489961.958
971.581	493561.632
976.1568	496779.01
993.6954	508961.752
1018.5363	525757.262
1043.3772	542250.214
1068.2181	558542.374
1093.059	574702.875
1117.9	590780.765
1142.7409	606812.219
1167.5818	622824.839
1192.4227	638840.304
1217.2636	654876.064
1242.1045	670946.451
1266.9454	687063.448
1291.7863	703237.217
1316.6272	719476.487
1341.4681	735788.835
1366.309	752180.904
1391.1499	768658.566
1415.9908	785227.051
1440.8318	801891.053
1465.6727	818654.809
1490.5136	835522.171
1515.3545	852496.655
1540.1954	869581.495
1657.4548	953641.858
1662.4548	957291.979
1667.4548	961336.286
1669.6796	963365.268
1670.6452	964289.887
1671.6452	965267.411
1672.6452	966266.306
1673.6452	967288.184
1674.6452	968334.778
1675.6452	969407.958
1676.6452	970509.739
1677.6452	971642.298
1678.6452	972807.99
1679.6452	974009.366
1680.6452	975249.195
1681.6452	976530.484
1682.6452	977856.51
1683.6452	979230.849
1684.6452	980657.407
1685.6452	982140.466
1686.6452	983684.723
1687.6452	985295.345
1688.6452	986978.03
1689.6452	988739.071
1690.6452	990585.435
1691.6452	992524.854
1692.6452	994565.93
1693.6452	996718.249
1694.6452	998992.526
1695.6452	1001400.763
1696.6452	1003956.435
1697.6452	1006674.711
1698.6452	1009572.708
1699.6452	1012669.789
1700.6452	1015987.916
1705.6452	1034743.232
1710.6452	1056755.521
1715.6452	1080746.688
1720.6452	1105438.311
1725.6452	1129551.962
1730.6452	1151809.219
1735.6452	1170931.656
1740.6452	1185639.52
1745.6452	1194651.998
1746.79	1195783.938
1750.0	1198295.813
1800.0	1238105.243
1850.0	1278636.5
1900.0	1319325.496
1950.0	1360143.744
2000.0	1401081.742
2050.0	1442128.17
2100.0	1483269.739
2150.0	1524491.041
2200.0	1565771.056
2250.0	1607065.919
2300.0	1648366.952
2350.0	1689674.16
2400.0	1730987.523
2450.0	1772306.992
2500.0	1813632.483
2550.0	1854963.879
2600.0	1896301.023
2650.0	1937643.715
2700.0	1978991.71
2750.0	2020344.713
2800.0	2061702.377
2850.0	2103064.298
2900.0	2144429.968
2950.0	2185797.185
3000.0	2227164.483
3050.0	2268531.859
3100.0	2309899.314
3150.0	2351266.846
3200.0	2392634.455
3250.0	2434002.139
3300.0	2475369.899
3350.0	2516737.732
3400.0	2558105.64
3450.0	2599473.621
3500.0	2640841.674
3550.0	2682209.8
3600.0	2723577.996
3650.0	2764946.264
3700.0	2806314.603
3750.0	2847683.011
3800.0	2889051.489
3850.0	2930420.036
3900.0	2971788.653
3950.0	3013157.338
4000.0	3054526.091
4050.0	3095894.911
4100.0	3137263.8
4150.0	3178632.755
4200.0	3220001.778
4250.0	3261370.867
4300.0	3302740.023
4350.0	3344109.245
4400.0	3385478.533
4450.0	3426847.886
4500.0	3468217.306
4550.0	3509586.79
4600.0	3550956.34
4650.0	3592325.954
4700.0	3633695.633
4750.0	3675065.377
4800.0	3716435.185
4850.0	3757805.057
4900.0	3799174.994
4950.0	3840544.994
5000.0	3881915.058
