#Temperature [K]	Thermal conductivity of System [W/(mK)]
298.15	11.6482
322.9909	12.0813
347.8318	12.4931
372.6727	12.8857
397.5136	13.2617
422.3545	13.623
447.1954	13.9707
472.0364	14.3058
496.8773	14.6289
521.7182	14.9407
546.5591	15.2415
571.4	15.532
596.2409	15.8123
621.0818	16.0828
645.9227	16.3477
670.7636	16.6079
695.6045	16.8588
720.4454	17.1003
745.2863	17.3323
770.1272	17.5545
794.9682	17.7667
819.8091	17.9686
844.65	18.1597
869.4909	18.3394
894.3318	18.5071
919.1727	18.662
944.0136	18.8031
968.8545	18.9292
993.6954	19.039
1018.5363	19.131
1035.8703	19.1829
1040.8703	19.2032
1045.8703	19.2342
1050.446	19.2725
1068.2181	19.4415
1093.059	19.6768
1117.9	19.9113
1142.7409	20.1453
1167.5818	20.3789
1192.4227	20.6122
1217.2636	20.8455
1242.1045	21.0752
1266.9454	21.3013
1291.7863	21.5264
1316.6272	21.7507
1341.4681	21.9741
1366.309	22.1969
1391.1499	22.419
1415.9908	22.6404
1440.8318	22.8613
1465.6727	23.0818
1490.5136	23.3018
1515.3545	23.5214
1540.1954	23.7407
1657.4548	24.7615
1662.4548	24.8069
1667.4548	24.8631
1669.6796	24.894
1670.6452	24.9086
1671.6452	24.9242
1672.6452	24.9403
1673.6452	24.957
1674.6452	24.9742
1675.6452	24.9921
1676.6452	25.0106
1677.6452	25.0298
1678.6452	25.0499
1679.6452	25.0707
1680.6452	25.0925
1681.6452	25.1152
1682.6452	25.1389
1683.6452	25.1638
1684.6452	25.1898
1685.6452	25.2172
1686.6452	25.2461
1687.6452	25.2765
1688.6452	25.3086
1689.6452	25.3426
1690.6452	25.3786
1691.6452	25.417
1692.6452	25.4579
1693.6452	25.5016
1694.6452	25.5484
1695.6452	25.5988
1696.6452	25.6531
1697.6452	25.7119
1698.6452	25.7758
1699.6452	25.8455
1700.6452	25.9217
1705.6452	26.5475
1710.6452	27.5599
1715.6452	28.8422
1720.6452	30.2774
1725.6452	31.7487
1730.6452	33.1392
1735.6452	34.3322
1740.6452	35.2105
1745.6452	35.6572
1746.79	35.6868
1750.0	35.7175
1800.0	36.1847
1850.0	36.6376
1900.0	37.0769
1950.0	37.5032
2000.0	37.9168
2050.0	38.3181
2100.0	38.7073
2150.0	39.0847
2200.0	39.4502
2250.0	39.8039
2300.0	40.1457
2350.0	40.4756
2400.0	40.7934
2450.0	41.0989
2500.0	41.392
2550.0	41.6723
2600.0	41.9397
2650.0	42.1939
2700.0	42.4347
2750.0	42.6617
2800.0	42.8746
2850.0	43.0733
2900.0	43.2574
2950.0	43.4267
3000.0	43.5809
3050.0	43.7198
3100.0	43.8432
3150.0	43.9508
3200.0	44.0424
3250.0	44.1178
3300.0	44.1769
3350.0	44.2195
3400.0	44.2454
3450.0	44.2544
3500.0	44.2464
3550.0	44.2213
3600.0	44.1789
3650.0	44.1191
3700.0	44.0419
3750.0	43.947
3800.0	43.8344
3850.0	43.704
3900.0	43.5557
3950.0	43.3894
4000.0	43.205
4050.0	43.0024
4100.0	42.7815
4150.0	42.5422
4200.0	42.2844
4250.0	42.008
4300.0	41.713
4350.0	41.3991
4400.0	41.0663
4450.0	40.7144
4500.0	40.3434
4550.0	39.9531
4600.0	39.5433
4650.0	39.114
4700.0	38.6649
4750.0	38.1959
4800.0	37.7069
4850.0	37.1976
4900.0	36.6678
4950.0	36.1175
5000.0	35.5462
