Power,Speed,P/v,Width,Depth,Length,hatch distance depth (um),hmax
60,2400,0.025,38.84741186,11.72786245,158.3456001,11.18811796,28.54059483
60,2000,0.03,42.5419163,14.11376947,168.4602848,13.53349019,32.54662846
50,1200,0.041666667,47.45823221,17.9691266,162.7114981,17.46503268,38.03956911
60,1600,0.0375,47.38439978,17.53753197,180.1559292,16.87021883,37.81439135
80,2800,0.028571429,45.10066164,14.83497198,206.0255736,14.45067365,34.85735594
90,2800,0.032142857,48.65793287,16.90579081,234.6741234,16.54370297,38.56990061
60,1200,0.05,54.29525749,22.83008452,194.8079489,22.01965994,45.27720986
50,800,0.0625,57.98500793,27.04091303,181.0778016,26.39338779,49.5433712
100,2800,0.035714286,51.73926378,18.8130453,262.4130072,18.40638803,41.80759779
40,400,0.1,65.68306865,41.96310378,169.7345301,39.83579137,59.02550264
70,1200,0.058333333,60.13250303,27.2572245,227.6174041,26.56021431,51.43335426
60,800,0.075,66.3994221,33.97951847,217.1642918,33.34091089,58.36435288
80,1200,0.066666667,65.05125228,31.5940858,260.939039,30.83972872,56.69473979
50,400,0.125,78.06236309,56.84129378,208.825446,55.91466396,71.98653132
90,1200,0.075,69.51728496,35.91739546,295.5756995,35.21784029,61.48321902
100,1200,0.083333333,73.68061823,40.70077885,330.6608739,39.51235592,66.01571111
60,400,0.15,87.53618945,74.27736011,250.6967289,73.05603629,82.17891551
70,400,0.175,95.71922817,92.32808898,293.3511795,90.7473332,90.92193703
80,400,0.2,103.6407788,112.2643694,334.916017,110.7922944,99.31198958
90,400,0.225,109.2560843,133.3650602,377.2389827,131.6105682,105.3767993
100,400,0.25,113.196567,154.2957404,409.9318097,151.9842717,109.6975865
60,2800,0.021428571,35.99974193,10.48775693,150.8712692,10.01729073,25.75689383
50,2400,0.020833333,32.61725606,9.206819049,129.4097592,8.606860379,22.58262924
50,2000,0.025,36.57711557,10.77718114,138.0196943,10.34060568,26.34321235
50,1600,0.03125,40.7788961,13.56137716,149.4168891,12.99607446,30.93762897
50,2800,0.017857143,29.00739132,7.885194189,121.0942921,7.365267977,19.26052143
80,2400,0.033333333,48.30567994,16.99243488,216.4085033,16.6213378,38.32701313
80,2000,0.04,52.24921807,20.19661297,228.1640463,19.78622155,42.73069442
80,1600,0.05,57.30638887,24.54937253,242.584973,23.62459842,48.30623152
80,800,0.1,78.45831903,48.01968181,290.9344137,47.23260425,71.37743986
90,2400,0.0375,52.52821173,19.33451387,245.0943972,18.9825031,42.64516477
90,2000,0.045,56.22767071,22.97470035,258.0861501,21.98241883,46.93367826
90,1600,0.05625,61.32632862,27.41436282,273.7177497,26.78393252,52.49487033
90,800,0.1125,83.87976045,55.81225654,328.2170403,55.26684851,77.24468054
100,2400,0.041666667,54.69175631,21.67634462,273.916705,21.33907253,45.2425801
100,2000,0.05,59.57443645,25.54862235,287.227306,24.49086878,50.50475851
100,1600,0.0625,64.89022054,30.50659383,304.7257082,29.93865579,56.31359427
100,800,0.125,88.39264363,64.63282558,367.0064837,62.99411446,82.25792539
40,2400,0.016666667,24.19948002,6.116533721,92.56973876,5.145627418,14.90812072
40,2000,0.02,27.36086877,7.518700098,104.0720812,7.013315411,17.92463518
40,1200,0.033333333,39.12712566,12.91011363,129.0648133,12.45795438,29.37171841
40,1600,0.025,32.38321376,9.407019168,115.4500017,8.751709868,22.54584639
40,2800,0.014285714,19.40435589,4.618977192,80.71912648,3.887150829,10.90720928
40,800,0.05,47.76423329,19.83762434,145.5133186,19.32789439,38.94623867
70,2400,0.029166667,44.02477511,14.60637622,187.263616,14.18249417,33.91911853
70,2000,0.035,47.8205178,17.33335178,198.2682243,16.86314753,38.08106665
70,1600,0.04375,53.18400524,21.35701008,211.0205996,20.64195634,43.89185584
70,2800,0.025,40.57489507,12.48695714,177.7613799,11.92196895,30.23572383
70,800,0.0875,72.90858952,41.23298301,252.7624477,39.77411277,65.40730461
